inventory_id,film_id,store_id,title,description,release_year,rental_rate,rating,store_manager_first_name,store_manager_last_name,store_address,store_city,store_district
1,1,1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,0.99,PG,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
2,1,1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,0.99,PG,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
3,1,1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,0.99,PG,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
4,1,1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,0.99,PG,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
16,4,1,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,2.99,G,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
17,4,1,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,2.99,G,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
18,4,1,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,2.99,G,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
19,4,1,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,2.99,G,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
26,6,1,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,2.99,PG,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
27,6,1,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,2.99,PG,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
28,6,1,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,2.99,PG,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
32,7,1,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,4.99,PG-13,Mike,Hillyer,"47 MySakila Drive",Lethbridge,Alberta
